Designator,Footprint,Quantity,Value,LCSC Part #
K_4,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
D_6,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
D_0,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
K_0,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
D_7,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
H1,MountingHole_2.2mm_M2_Pad,1,MountingHole,
H4,MountingHole_2.2mm_M2_Pad,1,MountingHole,
H3,MountingHole_2.2mm_M2_Pad,1,MountingHole,
H2,MountingHole_2.2mm_M2_Pad,1,MountingHole,
U1,RPi_Pico_SMD_TH,1,Pico,
D1,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D2,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D3,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D4,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D5,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D6,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D7,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D8,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D9,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D10,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D11,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D12,LED_WS2812B-5050_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
SW1,RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm,1,Rotary_Encoder_Switch,
D_14,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
K_1,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
D_3,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
D_10,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
K_5,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
D_4,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
D_8,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
D_5,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
K_9,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
K_8,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
D_2,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
D_1,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
K_11,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
K_6,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
K_10,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
K_3,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
D_9,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
K_2,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
D_11,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
K_7,MXOnly-1U-Hotswap-Antishear,1,KEYSW,
